nivel,dependencia,programa,hombre,mujer
Nivel Superior,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",Licenciatura en Enfermería,143,336
Nivel Superior,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",Licenciatura en Nutrición,133,351
Nivel Superior,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",Licenciatura en Odontología,168,420
Nivel Superior,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",Licenciatura en Optometría,97,198
Nivel Superior,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",Licenciatura en Trabajo Social,73,247
Nivel Superior,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",Médico Cirujano y Partero,403,780
Nivel Superior,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Santo Tomás",Licenciatura en Odontología,177,679
Nivel Superior,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Santo Tomás",Licenciatura en Optometría,273,660
Nivel Superior,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Santo Tomás",Licenciatura en Psicología,377,1129
Nivel Superior,Escuela Nacional de Biblioteconomía y Archivonomía,Licenciatura en Archivonomía,221,421
Nivel Superior,Escuela Nacional de Biblioteconomía y Archivonomía,Licenciatura en Biblioteconomía,123,302
Nivel Superior,Escuela Nacional de Ciencias Biológicas,Ingeniería Bioquímica,426,553
Nivel Superior,Escuela Nacional de Ciencias Biológicas,Ingeniería en Sistemas Ambientales,262,506
Nivel Superior,Escuela Nacional de Ciencias Biológicas,Licenciatura en Biología,255,408
Nivel Superior,Escuela Nacional de Ciencias Biológicas,Químico Bacteriólogo y Parasitólogo,566,915
Nivel Superior,Escuela Nacional de Ciencias Biológicas,Químico Farmacéutico Industrial,384,663
Nivel Superior,Escuela Nacional de Medicina y Homeopatía,Médico Cirujano y Homeópata,701,1508
Nivel Superior,Escuela Nacional de Medicina y Homeopatía,Médico Cirujano y Partero,769,1510
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Contador Público,1863,2076
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Administración y Desarrollo Empresarial,436,512
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Comercio Internacional,287,431
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Mercadotecnia Digital,173,329
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Negocios Digitales,204,298
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Negocios Internacionales,962,1600
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Relaciones Comerciales,1474,2837
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Tepepan",Contador Público,1446,1719
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Tepepan",Licenciatura en Contaduría y Finanzas Públicas,155,251
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Tepepan",Licenciatura en Negocios Internacionales,686,1098
Nivel Superior,"Escuela Superior de Comercio y Administración, Unidad Tepepan",Licenciatura en Relaciones Comerciales,760,1419
Nivel Superior,Escuela Superior de Cómputo,Ingeniería en Inteligencia Artificial,591,161
Nivel Superior,Escuela Superior de Cómputo,Ingeniería en Sistemas Automotrices,17,0
Nivel Superior,Escuela Superior de Cómputo,Ingeniería en Sistemas Computacionales,2593,547
Nivel Superior,Escuela Superior de Cómputo,Licenciatura en Ciencia de Datos,419,153
Nivel Superior,Escuela Superior de Economía,Licenciatura en Economía,2351,2370
Nivel Superior,Escuela Superior de Enfermería y Obstetricia,Licenciatura en Enfermería,173,470
Nivel Superior,Escuela Superior de Enfermería y Obstetricia,Licenciatura en Enfermería y Obstetricia,99,636
Nivel Superior,Escuela Superior de Física y Matemáticas,Ingeniería Matemática,427,299
Nivel Superior,Escuela Superior de Física y Matemáticas,Licenciatura en Física y Matemáticas,633,147
Nivel Superior,Escuela Superior de Física y Matemáticas,Licenciatura en Matemática Algorítmica,130,41
Nivel Superior,Escuela Superior de Ingeniería Mecánica y Eléctrica Unidad Culhuacán,Ingeniería en Computación,1236,309
Nivel Superior,Escuela Superior de Ingeniería Mecánica y Eléctrica Unidad Culhuacán,Ingeniería en Comunicaciones y Electrónica,1477,397
Nivel Superior,Escuela Superior de Ingeniería Mecánica y Eléctrica Unidad Culhuacán,Ingeniería en Sistemas Automotrices,739,68
Nivel Superior,Escuela Superior de Ingeniería Mecánica y Eléctrica Unidad Culhuacán,Ingeniería Mecánica,1502,215
Nivel Superior,"Escuela Superior de Ingeniería Mecánica y Eléctrica, Unidad Azcapotzalco",Ingeniería en Robótica Industrial,1557,364
Nivel Superior,"Escuela Superior de Ingeniería Mecánica y Eléctrica, Unidad Azcapotzalco",Ingeniería en Sistemas Automotrices,768,57
Nivel Superior,"Escuela Superior de Ingeniería Mecánica y Eléctrica, Unidad Azcapotzalco",Ingeniería Mecánica,3112,504
Nivel Superior,"Escuela Superior de Ingeniería Mecánica y Eléctrica, Unidad Ticomán",Ingeniería Aeronáutica,950,291
