nivel,dependencia,descripcion,programa,hombre,mujer
Nivel Superior,CICS Milpa Alta,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",Licenciatura en Enfermería,143,336
Nivel Superior,CICS Milpa Alta,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",Licenciatura en Nutrición,133,351
Nivel Superior,CICS Milpa Alta,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Milpa Alta",Licenciatura en Optometría,97,198
Nivel Superior,CICS Santo Tomás,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Santo Tomás",Licenciatura en Optometría,273,660
Nivel Superior,CICS Santo Tomás,"Centro Interdisciplinario de Ciencias de la Salud, Unidad Santo Tomás",Licenciatura en Psicología,377,1129
Nivel Superior,ENCB,Escuela Nacional de Ciencias Biológicas,Licenciatura en Biólogía,255,408
Nivel Superior,ENMH,Escuela Nacional de Medicina y Homeopatía,Médico Cirujano y Homeópata,701,1508
Nivel Superior,ENMH,Escuela Nacional de Medicina y Homeopatía,Médico Cirujano y Partero,769,1510
Nivel Superior,ESCA Santo Tomás,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Contador Público,1863,2076
Nivel Superior,ESCA Santo Tomás,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Administración y Desarrollo Empresarial,241,292
Nivel Superior,ESCA Santo Tomás,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Administración y Desarrollo Empresarial (No Escolarizada),195,220
Nivel Superior,ESCA Santo Tomás,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Comercio Internacional,287,431
Nivel Superior,ESCA Santo Tomás,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Negocios Internacionales,962,1600
Nivel Superior,ESCA Santo Tomás,"Escuela Superior de Comercio y Administración, Unidad Santo Tomás",Licenciatura en Relaciones Comerciales,1474,2837
Nivel Superior,ESCA Tepepan,"Escuela Superior de Comercio y Administración, Unidad Tepepan",Contador Público,1254,1366
